BarHalfLength [mm],generation,vonMises [MPa]
10.039264065886977,gen 1,71.74031750201225
13.672100514340574,gen 1,256.8246057523212
10.039264065886977,gen 2,71.74029792291857
13.672100514340574,gen 2,256.82553357530225
